Time,Time from start,UserID,Wireless Signal Status,Blink,Wink Left,Wink Right,Look Left,Look Right,Eyebrow,Furrow,Smile,Clench,Smirk Left,Smirk Right,Laugh,Short Term Excitement,Long Term Excitement,Engagement/Boredom,Cognitiv Action,Cognitiv Power,
Time from start,UserID,Wireless Signal Status,Blink,Wink Left,Wink Right,Look Left,Look Right,Eyebrow,Furrow,Smile,Clench,Smirk Left,Smirk Right,Laugh,Short Term Excitement,Long Term Excitement,Engagement/Boredom,Cognitiv Action,Cognitiv Power,
17-01-2017 02:54:01,15.5133,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.427817,0.100269,0.77274,1,0
Time from start,UserID,Wireless Signal Status,Blink,Wink Left,Wink Right,Look Left,Look Right,Eyebrow,Furrow,Smile,Clench,Smirk Left,Smirk Right,Laugh,Short Term Excitement,Long Term Excitement,Engagement/Boredom,Cognitiv Action,Cognitiv Power,
17-01-2017 02:54:01,16.0138,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.421537,0.106389,0.781636,1,0
Time from start,UserID,Wireless Signal Status,Blink,Wink Left,Wink Right,Look Left,Look Right,Eyebrow,Furrow,Smile,Clench,Smirk Left,Smirk Right,Laugh,Short Term Excitement,Long Term Excitement,Engagement/Boredom,Cognitiv Action,Cognitiv Power,
17-01-2017 02:54:02,16.5142,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.403685,0.112153,0.82225,1,0
Time from start,UserID,Wireless Signal Status,Blink,Wink Left,Wink Right,Look Left,Look Right,Eyebrow,Furrow,Smile,Clench,Smirk Left,Smirk Right,Laugh,Short Term Excitement,Long Term Excitement,Engagement/Boredom,Cognitiv Action,Cognitiv Power,
17-01-2017 02:54:02,17.0146,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.383052,0.117517,0.859705,1,0
Time from start,UserID,Wireless Signal Status,Blink,Wink Left,Wink Right,Look Left,Look Right,Eyebrow,Furrow,Smile,Clench,Smirk Left,Smirk Right,Laugh,Short Term Excitement,Long Term Excitement,Engagement/Boredom,Cognitiv Action,Cognitiv Power,
17-01-2017 02:54:02,17.0459,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.383052,0.117517,0.859705,1,0
Time from start,UserID,Wireless Signal Status,Blink,Wink Left,Wink Right,Look Left,Look Right,Eyebrow,Furrow,Smile,Clench,Smirk Left,Smirk Right,Laugh,Short Term Excitement,Long Term Excitement,Engagement/Boredom,Cognitiv Action,Cognitiv Power,
17-01-2017 02:54:03,17.5151,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.362812,0.122491,0.89143,1,0
